Unnamed: 0,frame_no,B1_x,B1_y,B1_confidence,B1_method,B2_x,B2_y,B2_confidence,B2_method,position_3d_pixels,B1_reprojected_point,B1_error_cm,B2_reprojected_point,B2_error_cm,anomaly_detected
0,1061,16,374,0.7976728677749634,YOLO,1892,383,0.4,LK,"[-4762.258295778171, -866.5098314692611, 4496.296778011025]","[91.04262030378325, 762.119344613008]",0.6552129343637091,"[3721.7838418900033, 776.60757086892]",0.6486767787785108,False
1,1062,71,383,0.8326795697212219,YOLO,1892,383,0.3,LK,"[-4888.250264315105, -868.4644369098194, 4813.754005870697]","[166.8876138819374, 782.2227435834243]",3.1006209491435217,"[3718.60538614712, 768.0950779068422]",3.448231461921457,False
2,1063,60,382,0.4,LK,1745,404,0.848747968673706,YOLO,"[-3933.9208944840007, -792.2386711002205, 3877.898067828317]","[168.67454780242656, 743.1983668048969]",7.50284046993814,"[3497.21587298344, 829.8742278444454]",5.3282204732158345,False
3,1064,178,402,0.8450319766998291,YOLO,1700,411,0.8322300314903259,YOLO,"[-3937.9583456866517, -767.6642272606655, 4364.998747308772]","[363.65430945079254, 789.6492421571561]",4.797663371587753,"[3409.311075483507, 835.6757765661606]",3.9418624274420124,False
4,1065,225,410,0.8399996161460876,YOLO,1657,417,0.8339241147041321,YOLO,"[-3710.1133007260946, -738.6015388214926, 4382.178003909427]","[460.08575568389, 801.6124998669382]",6.485109061393012,"[3328.2975356551683, 849.5350547936365]",5.15512646153158,False
5,1066,248,411,0.7354381203857725,BG/YOLO,1614,425,0.7578974962234497,YOLO,"[-3266.587446470622, -699.3270899400787, 4042.4471177704754]","[527.0561181741566, 794.3423544164596]",11.383696047541974,"[3252.9491944687147, 869.3418601051914]",7.672619901973253,False
6,1067,311,425,0.7616109251976013,YOLO,1575,431,0.8032627701759338,YOLO,"[-3420.742439982053, -678.859675693205, 4676.5636430734485]","[660.0881428669875, 839.8228784135168]",12.318816315840731,"[3182.0936560848077, 871.8483527374805]",10.124717298569216,False
7,1068,353,434,0.835638165473938,YOLO,1575,423,0.4,LK,"[-3929.3666130741494, -718.0170749267718, 5592.542703260692]","[710.199441162018, 867.2311722477416]",1.9796322133076187,"[3154.8919049509013, 848.842285276041]",2.201660274962909,False
8,1069,353,433,0.4,LK,1575,423,0.3,LK,"[-3906.5648807675116, -720.391279753115, 5559.159915685171]","[709.9953683004396, 865.2735580067108]",1.8999076896352094,"[3154.6088980290224, 848.7782588820179]",2.0869662024038735,False
9,1070,425,451,0.8447237610816956,YOLO,1466,451,0.4872131645679474,YOLO,"[-4160.437715321212, -631.3014747279486, 6775.957445993944]","[864.0726476371802, 924.7812790129575]",10.357495773827521,"[2944.531483956799, 870.3680234786361]",16.286284286428327,False
10,1071,459,460,0.7807726860046387,YOLO,1431,459,0.8259002566337585,YOLO,"[-3920.1567447767106, -576.3138226963006, 6784.075568312382]","[926.8545596586641, 938.2076545998466]",7.557443849891842,"[2864.098957244581, 894.5696112606611]",11.359957207535032,False
11,1072,490,468,0.5113481879234314,YOLO,1430,459,0.4,LK,"[-3359.726735880425, -523.799643424999, 6165.593806977209]","[984.0419528716047, 938.200645295785]",0.5150161770632437,"[2854.0949820757687, 918.2930669733905]",0.6067439900079783,False
12,1073,521,476,0.8536665439605713,YOLO,1430,458,0.3,LK,"[-2895.9696101660684, -483.8990218055801, 5649.571004545855]","[1040.1595207726186, 937.0616102563102]",5.7841863939304385,"[2848.5113526262908, 932.6683827111075]",5.59358964577095,False
13,1074,550,483,0.6372686624526978,YOLO,1334,481,0.7161812353777322,BG/YOLO,"[-3265.19925766568, -424.83172460556403, 6867.203493050073]","[1104.6250429437412, 975.9319336424094]",3.8565552929748708,"[2663.469593818389, 951.2466152715399]",5.235912118283558,False
14,1075,576,490,0.4,LK,1333,482,0.4,LK,"[-2917.690539534164, -381.3166080657949, 6540.622731926167]","[1155.6619105616214, 981.7556974865145]",0.43605172718071744,"[2660.452421574973, 964.0249642375779]",0.5207250201942766,False
15,1076,604,500,0.7514632672123474,BG/YOLO,1333,482,0.3,LK,"[-2576.9053873850107, -332.17615741621154, 6213.744579310359]","[1210.1498811064037, 989.6666152310929]",4.134668697508202,"[2659.3287503872602, 976.3824067196863]",4.35944959535856,False
17,1078,654,515,0.6974915266036987,YOLO,1218,515,0.5982335805892944,YOLO,"[-2578.327384075602, -181.66390421813938, 7219.5544315313455]","[1310.1398072039933, 1035.901437239148]",2.474419244683976,"[2432.9149463159406, 1023.3861821161812]",3.2196793368104495,False
18,1079,677,524,0.6399151682853699,YOLO,1218,514,0.4,LK,"[-2321.755540246695, -136.9469226390787, 7020.984433641719]","[1356.059660397147, 1045.1455892981508]",1.301381927340978,"[2433.2764919660754, 1032.0127943355524]",1.5641665823790671,False
19,1080,676,524,0.4,LK,1169,531,0.6998469233512878,YOLO,"[-2517.6691498364653, -93.14620334551074, 7576.765270565688]","[1353.281007667168, 1056.9295036796902]",4.057958635854204,"[2335.444183855518, 1050.4837167087883]",5.6044517588792395,False
20,1081,676,524,0.3,LK,1168,530,0.4,LK,"[-2520.382253007318, -97.06416853435847, 7586.109353165813]","[1353.3707012344867, 1056.1103430104715]",3.6816070132926884,"[2333.5678510877246, 1049.5629307382776]",5.096344387705386,False
29,1102,983,602,0.6213742261987902,BG,808,616,0.7935455912192155,BG,"[192.43345237475376, 764.4585271060035, 9545.192244507401]","[1965.3273004949579, 1207.8814367661087]",2.3287846214248895,"[1615.4885098464147, 1226.8660332450781]",3.075525448548394,False
30,1103,988,596,0.6108759556927862,BG,800,608,0.787644612766407,BG,"[249.8550116256976, 693.4077852777336, 9602.305305752376]","[1975.5036329332247, 1195.012571636968]",1.8184747531357202,"[1599.7423386093371, 1211.996528017024]",2.4073154305261806,False
31,1104,994,590,0.8202020201250877,BG,792,601,0.7720476897413296,BG,"[318.1910784034337, 627.0252599782725, 9659.017544212136]","[1987.524194273853, 1183.089967434656]",1.8689044827109824,"[1583.8168205838438, 1197.9146429425243]",2.47620609180167,False
32,1105,999,585,0.7748298965014045,BG,784,595,0.6867752159605119,BG,"[376.38157058263795, 570.2996712074287, 9718.371031473382]","[1997.5727555613137, 1172.9045936548755]",1.7649185413586401,"[1567.9329619850232, 1186.1613762641869]",2.3440191750744077,False
33,1106,1005,580,0.6368238171141964,BG,777,588,0.6664154522263376,BG,"[446.35627598529277, 508.8388705672665, 9766.788842135931]","[2009.6809984516074, 1162.1467655736744]",1.3154623024388232,"[1554.127273052783, 1173.1602456513313]",1.7460596265863968,False
34,1107,1010,574,0.8085181428902573,BG,769,582,0.6910187825795631,BG,"[505.3169840469692, 444.66680728011437, 9827.489067435492]","[2019.6093946328765, 1150.9511941409874]",1.8044798288025674,"[1538.1110908495493, 1160.1388639142885]",2.4010087666856506,False
35,1108,1016,569,0.685223306132241,BG,762,577,0.7912165427582412,BG,"[575.7802846631126, 391.58345420409563, 9878.470188591014]","[2031.5354595548738, 1141.7891187738908]",2.318616677939914,"[1524.0989028199526, 1149.0796654829553]",3.083788545884196,False
36,1109,1020,565,0.4,LK,755,571,0.7300079258206148,BG,"[625.3251039496405, 338.47618088824356, 9931.908610672814]","[2039.653580913513, 1132.7034084176355]",1.6667109581297361,"[1510.32299445156, 1138.498417341828]",2.2221833844492695,False
37,1110,1025,562,0.3,LK,747,566,0.6948268209617899,BG,"[687.3405300126219, 296.4998055987423, 9993.712884708044]","[2049.753514751442, 1125.4957846016825]",0.9363503633526624,"[1494.5474804022754, 1130.080089163548]",1.2510361542168806,False
40,1113,1040,551,0.5711544752120972,YOLO,731,556,0.4,LK,"[868.9316004000818, 180.9817129365079, 10113.621323275956]","[2079.517502241726, 1106.2574500375108]",2.6477722137712365,"[1462.5188804603927, 1106.5900469756214]",3.5272776467462443,False
41,1114,1044,547,0.4,LK,730,554,0.3,LK,"[914.8501523815221, 146.65062696081137, 10117.092851095002]","[2087.3480303260817, 1100.7026517284144]",4.156643256272906,"[1460.3545191885105, 1099.490626357353]",5.5123010339854925,False
51,1124,1088,531,0.4672738313674927,YOLO,653,530,0.6967131794076677,BG/YOLO,"[1519.5427091493527, -82.95276412942677, 10772.425226686963]","[2175.2739571808556, 1064.4347656060086]",1.5727401001237742,"[1307.6631264070356, 1057.2665475763174]",2.138494814711692,False
52,1125,1092,530,0.443203866481781,YOLO,646,529,0.4,LK,"[1577.9638995466637, -95.6870768882653, 10835.173994080464]","[2183.2185430014542, 1062.5872370582028]",1.6779610704416745,"[1293.7270309571845, 1055.0927918171294]",2.286474499877566,False
53,1126,1095,529,0.4,LK,640,529,0.3,LK,"[1623.0978698493698, -103.31592121452624, 10889.739597592783]","[2189.1487109065856, 1061.5148399613063]",2.2985637792767983,"[1281.742480503634, 1053.8808256014083]",3.139871923532273,False
54,1127,1099,529,0.3,LK,637,530,0.785754382610321,YOLO,"[1676.9606493900255, -97.97976295599557, 10917.36296057108]","[2197.061422801458, 1062.352725341978]",2.8610627163221873,"[1275.7260422528925, 1054.7880413185192]",3.899730806250518,False
63,1149,1120,550,0.6737651151184011,BG,571,557,0.4,LK,"[2051.1529318213397, 187.91435134495717, 11552.684344065186]","[2238.6394597116923, 1103.5956892959675]",2.580404965426676,"[1143.6560693096133, 1109.437115227448]",3.664018421160243,False
64,1150,1105,544,0.7436781659348073,BG,587,549,0.8001112341880798,YOLO,"[1827.5255293085052, 98.96021041093432, 11390.063705730076]","[2208.946734961287, 1091.2139643756304]",2.2489180633385595,"[1175.8031013426871, 1094.000304905151]",3.2052602329743545,False
65,1151,1088,538,0.6745914771583519,BG,582,539,0.4,LK,"[1611.2235481031566, -1.8857385490562255, 11420.003526553606]","[2175.3248040921303, 1076.747501682545]",0.512775016905273,"[1166.005326233814, 1077.5033639031278]",0.7518683982601286,False
66,1152,1070,532,0.6111464731783545,BG,587,537,0.3,LK,"[1368.1636360810885, -58.94558877922794, 11363.841366116341]","[2139.3926766471145, 1068.5415797136982]",3.131141738190736,"[1175.8290055972093, 1068.0009130480394]",4.686328856534247,False
67,1153,1052,525,0.6360342686717707,BG,640,526,0.8307579755783081,YOLO,"[1087.1840175163572, -154.29082505621534, 10894.373883685243]","[2103.614301711087, 1053.8759417541578]",2.5507257272303803,"[1281.7461908619862, 1047.0815042579052]",3.7043930778725525,False
68,1154,1035,518,0.6206330553638505,BG/YOLO,658,518,0.6729677599525805,BG,"[862.2421947605478, -239.08714706862463, 10739.490414989265]","[2069.7408796359337, 1040.6405671211546]",3.0130699851173826,"[1317.6385594842322, 1029.9844365390609]",4.400458600580731,False
69,1155,1014,513,0.6212344951124719,BG,677,511,0.6943645604418299,BG,"[594.6576725753569, -303.13685667760905, 10585.559791687689]","[2027.8711994859402, 1030.2248166537122]",2.7070139101025608,"[1355.5205648625545, 1016.4939023757956]",3.9968519915392156,False
70,1156,995,507,0.6092606785082666,BG/YOLO,697,503,0.7213958715031694,BG,"[358.16036751614604, -375.58495092501363, 10429.076450916504]","[1989.9555397811232, 1018.1717610557906]",2.6377486402166297,"[1395.381372017849, 1000.5164863886039]",3.9227051800343,False
71,1157,975,500,0.6170011714214205,BG/YOLO,696,502,0.4,LK,"[118.3374892258922, -427.5154687380357, 10452.05635645942]","[1949.9790723449275, 1010.1827052622696]",6.481693385930293,"[1393.4134191442165, 989.3418729139448]",9.975170475722654,False
72,1158,974,500,0.4,LK,739,488,0.6835116364549303,BG,"[102.73152970741276, -476.59437943715125, 10099.440515866798]","[1947.9821517976538, 999.9086954329832]",0.06957839174622726,"[1478.967914736661, 976.6230453033508]",0.10186080077564776,False
73,1159,932,489,0.6474436227001856,BG,762,480,0.7517368796128688,BG/YOLO,"[-379.97280478350297, -571.8141541193598, 9970.358024014507]","[1864.1373299186694, 983.3052566356729]",3.2150443971535934,"[1524.9960923839094, 952.6038782612917]",4.920080156564862,False
74,1160,910,483,0.6016633558637455,BG,785,473,0.5885664688703537,BG/YOLO,"[-622.7551402539665, -629.1204760626742, 9824.12598156432]","[1820.236955775252, 972.3788818708585]",3.8021608742246413,"[1570.96070981794, 936.9022775042065]",5.88242696324365,False
75,1161,887,477,0.6224137395809755,BG,809,465,0.6200325719496667,BG,"[-869.3311212477452, -687.8144595929834, 9680.1598120596]","[1774.3657197498342, 960.915206851726]",4.045105315401089,"[1618.9686578765497, 919.9951811384966]",6.335251733283597,False
76,1162,887,476,0.4,LK,833,457,0.7095095197889119,BG/YOLO,"[-853.7106459211159, -718.0709794169296, 9490.50567995051]","[1774.1074460607076, 953.3857537839845]",0.7577868075076837,"[1666.444744502424, 912.434939741062]",1.1487079229812234,False
77,1163,843,466,0.7947567105293274,YOLO,860,450,0.6502915851480175,BG/YOLO,"[-1316.8994211892348, -787.8778976178089, 9389.284253848033]","[1686.7562697301732, 939.9045898667915]",4.430541617994107,"[1721.1261422236487, 888.4011153450771]",7.069454271686783,False
78,1164,847,465,0.4,LK,887,443,0.6463181867558407,BG,"[-1245.4525479472563, -812.0922012131405, 9165.353323088302]","[1694.3425024177432, 932.237685471454]",1.1496170404320276,"[1774.4108156841082, 883.2986973061645]",1.7486650965721828,False
79,1165,847,465,0.3,LK,916,436,0.7036519646644592,YOLO,"[-1217.369181128367, -829.5003624099356, 8931.695349939057]","[1693.629401680528, 925.2654588695675]",2.7004421887008676,"[1831.3422412477037, 879.2854958255124]",3.9317786222417657,False
80,1166,757,448,0.7964953919549048,BG,912,437,0.4,LK,"[-2204.640796791976, -903.8400287795192, 9263.757874717232]","[1517.0426487582613, 917.5925780465025]",11.925437265345511,"[1827.8380788816808, 837.6615888576525]",21.496041045682524,False
81,1167,757,448,0.4,LK,975,421,0.5731363892555237,YOLO,"[-2098.496476464997, -936.1784536504026, 8793.167787665274]","[1515.8874681892637, 903.051219995056]",3.4955995145636236,"[1951.3245135234063, 832.3030210646547]",5.690663292447553,False
82,1168,757,448,0.3,LK,974,421,0.4,LK,"[-2100.3206753731365, -936.5318387476816, 8801.046043417567]","[1515.89850842878, 903.1413364539496]",3.5474915669425804,"[1949.3484252861488, 832.1418158312663]",5.7849796746919315,False
83,1169,679,433,0.4639344215393066,YOLO,1045,405,0.6455029845237732,YOLO,"[-2814.021038656585, -1024.0807922861302, 8616.592187529657]","[1363.1905966971892, 882.8169615372635]",8.416548621863907,"[2094.6018741140692, 783.6747995289118]",15.023264946581307,False
84,1170,683,432,0.4,LK,1045,404,0.4,LK,"[-2767.2625631905785, -1033.8131539670685, 8593.147853925986]","[1371.0925650702077, 880.4365124715406]",8.196178732089047,"[2094.459290388796, 782.6730769084305]",14.4451793012261,False
85,1171,683,432,0.3,LK,1045,404,0.3,LK,"[-2767.2625631905785, -1033.8131539670685, 8593.147853925986]","[1371.0925650702077, 880.4365124715406]",8.196178732089047,"[2094.459290388796, 782.6730769084305]",14.4451793012261,False
87,1173,552,416,0.531456470489502,YOLO,1163,379,0.4,LK,"[-4004.8529069300967, -1109.3169772417377, 8555.315996510491]","[1117.4138826271092, 865.1465966378138]",17.229948785017445,"[2344.9647328237274, 691.210503315813]",38.82470888830099,True
88,1174,517,410,0.5892741680145264,YOLO,1256,365,0.4685203731060028,YOLO,"[-4106.180712638777, -1136.7817889172359, 8094.272356803325]","[1049.3724827594403, 847.5342566614707]",14.05218856237574,"[2531.10197826469, 680.3553361766641]",29.36970607269614,False
89,1175,482,407,0.7502239346504211,YOLO,1255,364,0.4,LK,"[-4609.008576576217, -1142.1441135354476, 8471.644430655364]","[985.5425527590824, 856.7223753312724]",23.324217914096398,"[2551.8912732245913, 628.3695735542146]",60.04179575578808,True
90,1176,445,404,0.4539069831371307,YOLO,1255,364,0.3,LK,"[-5193.126461595506, -1144.4153618939079, 8902.601819918797]","[917.3382876305147, 866.9695503760873]",34.167114627573646,"[2590.7304061098403, 542.7465091842575]",115.79256604652694,True
92,1178,108,507,0.7024672627449036,YOLO,1463,337,0.7811689972877502,YOLO,"[-20300.14132118373, 814.5718576694022, 23083.522705361618]","[403.15371207129107, 1134.677850251579]",301.6170653752869,"[2624.742826927874, 849.0037067519136]",498.0770931269052,True
93,1179,107,507,0.4,LK,1532,329,0.5614540576934814,YOLO,"[-9940.008296336877, -152.8579350118271, 11741.268687407104]","[460.17186773053277, 1055.7445344510636]",171.7888585476867,"[1788.1328933956513, 847.2347936418861]",951.622444855698,True
94,1180,147,503,0.3,LK,1598,321,0.8104907870292664,YOLO,"[-6242.868636139006, -562.6697713637552, 7547.288069888785]","[493.89597443289176, 955.1986070767624]",94.83950681449603,"[3915.7492791260484, 809.0071492801761]",350.5964995830006,True
95,1181,238,388,0.7788053750991821,YOLO,1673,314,0.8171833157539368,YOLO,"[-4665.782501035243, -1160.776398010739, 5735.513752241708]","[517.6472561409053, 746.3223521890634]",19.568491847085287,"[3410.2118242578667, 668.439840931674]",26.874257424387032,True
96,1182,192,385,0.7879896759986877,YOLO,1748,307,0.7726454138755798,YOLO,"[-4829.305911165592, -1153.3761399907407, 5537.046320910817]","[415.7270956641145, 736.6529047301087]",16.462925782346712,"[3533.093072896746, 662.6479566565691]",22.220454828920012,True
97,1183,142,384,0.8269013166427612,YOLO,1751,307,0.4,LK,"[-4688.913409981028, -1141.403170397, 5134.139324252307]","[344.35392286916436, 713.7529802227698]",24.81218534250205,"[3557.7406876571577, 682.4117216623547]",29.488774476604657,True
98,1184,93,382,0.8395137786865234,YOLO,1751,307,0.3,LK,"[-4565.113916369355, -1134.6009990654043, 4803.5998890886785]","[279.9774323987454, 691.0703127424235]",31.540061658276787,"[3572.111221221011, 696.4813903335596]",33.67234470005055,True
100,1217,876,533,0.3,LK,1880,502,0.7117863297462463,YOLO,"[935.0732999227789, 189.20627117550063, -9099.95860360368]","[1751.8767592155823, 1043.0432570303417]",-12.754877096350668,"[3714.598605617645, 994.3230942659692]",-8.214899018334158,False
103,1296,56,150,0.6335399746894836,YOLO,1842,262,0.3,LK,"[-4368.52337394313, -1820.1488806232858, 4259.01726873672]","[149.11243586852353, 378.70636933823255]",15.39491161936608,"[3601.3218782123354, 505.4257554332707]",13.05692514367317,False
106,1299,252,184,0.8769175410270691,YOLO,1612,309,0.7462220788002014,YOLO,"[-3150.483936665282, -1716.7634430225664, 3919.0457663708175]","[534.3170257661372, 361.23418387320316]",7.722351987387501,"[3244.396421990149, 624.2765453133111]",4.898395204794183,False
107,1300,312,195,0.8419837355613708,YOLO,1611,309,0.4,LK,"[-3178.3797287161838, -1733.9283089442856, 4151.837761984411]","[600.9225254822894, 394.6124724984863]",4.8240484142615685,"[3211.4275350675243, 615.3620203043093]",3.2284311030363186,False
108,1301,370,207,0.7994077801704407,YOLO,1611,309,0.3,LK,"[-3222.681279961184, -1749.7634263323826, 4423.371309651711]","[665.1367423781231, 430.6531432684518]",19.680531321368786,"[3174.840929163772, 604.9360210076322]",14.03389160250579,True
117,1310,792,310,0.8260898590087891,YOLO,1323,384,0.4,LK,"[-964.2131837209, -1360.9078892673965, 4771.509974499025]","[1579.3996271576675, 610.9762000730144]",3.78670152040507,"[2636.747618540224, 777.6694347151057]",2.3080972346932933,False
118,1311,832,322,0.8319839239120483,YOLO,1323,384,0.3,LK,"[-755.2145104085845, -1320.170151057009, 4614.512969036893]","[1646.1119223503838, 609.5455604927525]",11.571131293802152,"[2630.1141562312773, 790.9752090004721]",6.5514284864619965,False
119,1312,869,334,0.8639390468597412,YOLO,1260,406,0.6975484490394592,YOLO,"[-557.302909558878, -1247.3064710578517, 5136.342176078924]","[1741.898284174188, 680.2183196445708]",3.4571331710669946,"[2517.6539267978114, 807.614118370214]",2.2286214709063485,False
120,1313,868,339,0.4,LK,1260,406,0.4,LK,"[-568.7961398750563, -1232.3790133733803, 5151.1826630712985]","[1738.5665449165124, 686.0966039386448]",2.135867856567907,"[2516.847466631075, 810.1195797019582]",1.3814789227827935,False
121,1314,939,356,0.8881463408470154,YOLO,1260,406,0.3,LK,"[-173.00144842974578, -1167.365869267888, 4859.733816064345]","[1868.498327289813, 684.5117253359087]",8.970877114292994,"[2510.406711392405, 830.129325982302]",5.128068944857091,False
130,1330,1374,541,0.7241666472762568,BG,1024,514,0.7114959615650317,BG,"[2849.2183026516363, -10.779680331823236, 6123.981640582768]","[2738.2606775568784, 1074.1410887812378]",2.9589376431044347,"[2047.984729673057, 1032.460505586634]",1.7015334095750845,False
131,1331,1395,553,0.7571866572491892,BG/YOLO,1007,526,0.7205669966849179,BG,"[3068.1254076436576, 120.19912124640122, 6276.652029766015]","[2779.173488325562, 1108.308687055863]",0.9627667591636182,"[2013.8972734068798, 1050.600415683371]",0.5598877523815365,False
132,1332,1416,565,0.8140173286088539,BG/YOLO,998,532,0.6680606979739152,BG,"[3246.3692310198776, 212.68340982555134, 6333.290825409143]","[2820.4556912287653, 1131.8899148691003]",0.9111409057789923,"[1995.9077901350754, 1062.6851159127198]",0.5277715367291501,False
133,1333,1436,576,0.754636104323805,BG,989,538,0.6689953564557831,BG,"[3422.5810398854674, 303.09146267794057, 6394.428040763101]","[2859.799491952028, 1154.4676586356968]",1.2388038906303924,"[1977.880251989098, 1074.228043779729]",0.7155036529779989,False
134,1334,1456,588,0.6908390309388196,BG,981,543,0.6407828274071444,BG,"[3596.2286624290978, 392.0380675393425, 6444.155325528964]","[2899.4211625843795, 1176.4235413288013]",0.5407180503567999,"[1961.9428606427487, 1085.2361075715423]",0.3108453566039304,False
135,1335,1475,600,0.8009034265817658,BG/YOLO,972,549,0.6683749941974539,BG,"[3774.637296497718, 490.4727101837825, 6510.920891365929]","[2937.0677312495177, 1200.107599483232]",0.5124964424007099,"[1943.9427658965237, 1097.2859540607817]",0.29406145694133584,False
136,1336,1493,611,0.7458723870068176,BG,965,555,0.6449160528303446,BG,"[3936.1873076054, 586.0321050004668, 6557.305968646239]","[2972.729091272039, 1223.0490701217602]",0.9701271363519413,"[1929.881212360755, 1108.6660470112647]",0.5542440855570295,False
137,1337,1511,623,0.7112408117324913,BG,957,560,0.7126537717491253,BG,"[4108.851509349262, 680.5403036447995, 6616.18938199716]","[3008.7710313777607, 1245.0900496626982]",0.2575983778770857,"[1913.9627458703862, 1119.6559016405442]",0.1467698972794897,False
138,1338,1529,635,0.7009151695026019,BG,957,560,0.4,LK,"[4220.9898416037395, 733.03204546183, 6571.3208490985335]","[3045.768629374353, 1259.290017112156]",3.636864102167659,"[1914.460766595359, 1124.912630346868]",2.038723878474649,False
139,1339,1548,647,0.8034710884094238,YOLO,941,572,0.7785730219145969,BG,"[4471.980330677251, 891.6058082908675, 6738.408153724836]","[3082.7924103651926, 1293.2229050293936]",0.4223420315258103,"[1881.9246240963778, 1143.4545779264974]",0.23918852897758633,False
140,1340,1564,659,0.8134523630142212,YOLO,935,577,0.6473589826355701,BG,"[4626.339690966132, 990.4032022912195, 6780.8145431321]","[3115.1161624164392, 1315.6783456347378]",0.18084784357904715,"[1870.0118537635058, 1154.2550270689783]",0.10200033460995922,False
141,1341,1561,658,0.4,LK,935,577,0.4,LK,"[4607.202532560907, 985.5502563259047, 6787.691240137256]","[3109.019797445167, 1314.268307976488]",0.06731504203201827,"[1869.9731745036866, 1153.92930750374]",0.03806453032759239,False
142,1342,1593,680,0.6079390248693466,BG,921,589,0.6737651151184011,BG,"[4941.415455919589, 1198.0405491431377, 6905.005412120975]","[3173.045956063327, 1360.521083381947]",1.0646802368125208,"[1841.7932514349354, 1176.6551617228852]",0.5992459023137948,False
143,1343,1611,694,0.6830350448606927,BG,915,595,0.8085181381420813,BG,"[5117.112429318211, 1319.7998998072396, 6947.53521729625]","[3209.3544622931454, 1387.4222917013149]",0.6233921011785825,"[1829.864019254811, 1189.2307070671454]",0.3489265979310409,False
144,1344,1623,694,0.7722007869964467,BG/YOLO,910,594,0.4,LK,"[5243.642296333647, 1320.944374712452, 6986.988072813318]","[3233.5801422193517, 1385.9372034790179]",0.04559962020003642,"[1819.9853170652684, 1188.0778394589092]",0.025472319322636744,False
145,1345,1630,683,0.8631453160654202,BG,907,591,0.8061450660379307,BG,"[5316.768343392142, 1252.96502089189, 7013.181222399612]","[3246.8196293182464, 1368.9449623435057]",2.0432073177029917,"[1813.6313267751007, 1179.4609624297218]",1.1406260871030203,False
146,1346,1638,673,0.7146315574645996,YOLO,904,586,0.8323186919600187,BG,"[5397.132813292863, 1172.4064163732103, 7034.151285320064]","[3262.734877951524, 1349.3613226067298]",2.1563676351164878,"[1807.635943007808, 1169.3293137269247]",1.2018213744196282,False
147,1347,1645,664,0.4,LK,902,581,0.8983534868245349,BG,"[5461.3599531663795, 1094.3828168278662, 7043.732543112126]","[3276.756958519808, 1330.8910372086862]",1.8914914810510217,"[1803.6978992677587, 1159.6666952004737]",1.05165666357903,False
148,1348,1652,656,0.7154380083084106,YOLO,902,581,0.4,LK,"[5505.609702573619, 1060.4061445055474, 7033.201570969866]","[3289.6986427103416, 1323.3774953657385]",5.50055018042456,"[1803.1666389983625, 1155.1976952777325]",3.0428386559646303,False
149,1349,1645,657,0.4,LK,901,581,0.3,LK,"[5470.567356936886, 1064.3071810901192, 7059.609538093259]","[3275.993710185495, 1323.3588557819103]",4.661254722623134,"[1801.2894955430827, 1156.2204051789392]",2.596459480473722,False
153,1353,280,454,0.5097341537475586,YOLO,887,554,0.6587925570046589,BG,"[-9127.672657658963, -862.4178828188594, 11482.625092628428]","[549.9093925152838, 954.2937677889709]",32.57822753181979,"[1798.1904961295488, 1426.968605460686]",231.23335339499138,True
154,1354,288,455,0.6737651151184011,BG,885,551,0.4,LK,"[-8980.953860433956, -843.9263063982784, 11435.229944482813]","[566.4688077055922, 956.4274096620455]",32.503012129148715,"[1794.8767747753345, 1451.5992263087044]",252.3069815606468,True
155,1355,288,455,0.4,LK,883,549,0.3,LK,"[-8975.299846379155, -841.3478781501709, 11428.995884752665]","[566.5839704463367, 956.7302691770667]",32.68740591677953,"[1790.0262161220219, 1451.402126193387]",254.85586958414046,True
